@relation 'muestra 4.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last'

@attribute day_week {lunes,viernes,martes,mi�rcoles,jueves,domingo,s�bado}
@attribute day {11,12,13,14,15,16,17,18,19}
@attribute time {'\'(16.1-18.4]\'','\'(13.8-16.1]\'','\'(6.9-9.2]\'','\'(-inf-2.3]\'','\'(18.4-20.7]\'','\'(9.2-11.5]\'','\'(2.3-4.6]\'','\'(4.6-6.9]\'','\'(20.7-inf)\'','\'(11.5-13.8]\''}
@attribute temperature {8.6,16}
@attribute pressure {1012,1013,1022}
@attribute wind {0,18,20}
@attribute humidity {93,98,99}
@attribute visibility {1,4,8}
@attribute dewpoint {8,16}
@attribute sunrise {7.17,7.34,7.47}
@attribute sunset {17.55,18.04,18.26}
@attribute condition {Fog,Rain,Precipitation,Drizzle,Overcast}
@attribute risk_level {'Risk High','Risk Undefined','Risk Low','Risk Medium'}
@attribute hs_predict {0,1,2,3}

@data
lunes,12,'\'(16.1-18.4]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',0
lunes,12,'\'(13.8-16.1]\'',16,1013,18,93,8,16,7.17,18.26,Rain,'Risk Undefined',0
viernes,16,'\'(16.1-18.4]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',0
martes,13,'\'(6.9-9.2]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',0
lunes,12,'\'(-inf-2.3]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk Low',1
mi�rcoles,14,'\'(6.9-9.2]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',0
jueves,15,'\'(6.9-9.2]\'',16,1013,18,93,8,16,7.17,18.26,Precipitation,'Risk Low',0
mi�rcoles,14,'\'(18.4-20.7]\'',16,1013,18,93,8,16,7.17,18.26,Precipitation,'Risk High',0
domingo,18,'\'(-inf-2.3]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',2
domingo,11,'\'(16.1-18.4]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',0
domingo,18,'\'(16.1-18.4]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk Medium',2
mi�rcoles,14,'\'(16.1-18.4]\'',16,1013,18,93,8,16,7.17,18.26,Precipitation,'Risk High',0
s�bado,17,'\'(9.2-11.5]\'',16,1013,18,93,8,16,7.17,18.26,Precipitation,'Risk High',0
mi�rcoles,14,'\'(6.9-9.2]\'',16,1013,18,93,8,16,7.17,18.26,Drizzle,'Risk High',0
mi�rcoles,14,'\'(2.3-4.6]\'',16,1013,18,93,8,16,7.17,18.26,Rain,'Risk Medium',0
jueves,15,'\'(2.3-4.6]\'',16,1013,18,93,8,16,7.17,18.26,Rain,'Risk Low',0
domingo,18,'\'(16.1-18.4]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk Low',0
viernes,16,'\'(9.2-11.5]\'',16,1013,18,93,8,16,7.17,18.26,Precipitation,'Risk Low',0
lunes,12,'\'(4.6-6.9]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk Undefined',0
mi�rcoles,14,'\'(2.3-4.6]\'',16,1013,18,93,8,16,7.17,18.26,Rain,'Risk Medium',0
mi�rcoles,14,'\'(6.9-9.2]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',0
s�bado,17,'\'(20.7-inf)\'',16,1013,18,93,8,16,7.17,18.26,Precipitation,'Risk High',0
lunes,12,'\'(18.4-20.7]\'',16,1013,18,93,8,16,7.17,18.26,Rain,'Risk Undefined',0
jueves,15,'\'(6.9-9.2]\'',16,1013,18,93,8,16,7.17,18.26,Precipitation,'Risk High',0
martes,13,'\'(9.2-11.5]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',0
domingo,18,'\'(4.6-6.9]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',2
mi�rcoles,14,'\'(16.1-18.4]\'',16,1013,18,93,8,16,7.17,18.26,Drizzle,'Risk High',0
mi�rcoles,14,'\'(6.9-9.2]\'',16,1013,18,93,8,16,7.17,18.26,Drizzle,'Risk High',0
domingo,11,'\'(18.4-20.7]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',0
jueves,15,'\'(2.3-4.6]\'',16,1013,18,93,8,16,7.17,18.26,Drizzle,'Risk Undefined',0
jueves,15,'\'(18.4-20.7]\'',16,1013,18,93,8,16,7.17,18.26,Rain,'Risk High',0
s�bado,17,'\'(18.4-20.7]\'',16,1013,18,93,8,16,7.17,18.26,Precipitation,'Risk High',0
martes,13,'\'(6.9-9.2]\'',16,1013,18,93,8,16,7.17,18.26,Rain,'Risk High',0
mi�rcoles,14,'\'(20.7-inf)\'',16,1013,18,93,8,16,7.17,18.26,Drizzle,'Risk High',0
domingo,18,'\'(6.9-9.2]\'',16,1013,18,93,8,16,7.17,18.26,Precipitation,'Risk Medium',0
mi�rcoles,14,'\'(16.1-18.4]\'',16,1013,18,93,8,16,7.17,18.26,Drizzle,'Risk High',0
mi�rcoles,14,'\'(18.4-20.7]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',0
jueves,15,'\'(13.8-16.1]\'',16,1013,18,93,8,16,7.17,18.26,Drizzle,'Risk Medium',0
mi�rcoles,14,'\'(13.8-16.1]\'',16,1013,18,93,8,16,7.17,18.26,Drizzle,'Risk High',0
viernes,16,'\'(13.8-16.1]\'',16,1013,18,93,8,16,7.17,18.26,Precipitation,'Risk High',0
viernes,16,'\'(13.8-16.1]\'',16,1013,18,93,8,16,7.17,18.26,Precipitation,'Risk High',0
s�bado,17,'\'(4.6-6.9]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',0
domingo,18,'\'(16.1-18.4]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk Low',1
mi�rcoles,14,'\'(18.4-20.7]\'',16,1013,18,93,8,16,7.17,18.26,Rain,'Risk Undefined',0
jueves,15,'\'(2.3-4.6]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk Undefined',0
martes,13,'\'(2.3-4.6]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',0
martes,13,'\'(9.2-11.5]\'',16,1013,18,93,8,16,7.17,18.26,Drizzle,'Risk Low',0
martes,13,'\'(16.1-18.4]\'',16,1013,18,93,8,16,7.17,18.26,Precipitation,'Risk High',0
domingo,11,'\'(18.4-20.7]\'',16,1013,18,93,8,16,7.17,18.26,Rain,'Risk Medium',0
viernes,16,'\'(4.6-6.9]\'',16,1013,18,93,8,16,7.17,18.26,Precipitation,'Risk Undefined',0
mi�rcoles,14,'\'(13.8-16.1]\'',16,1013,18,93,8,16,7.17,18.26,Drizzle,'Risk High',0
viernes,16,'\'(9.2-11.5]\'',16,1013,18,93,8,16,7.17,18.26,Precipitation,'Risk Low',0
domingo,18,'\'(20.7-inf)\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk Undefined',0
jueves,15,'\'(9.2-11.5]\'',16,1013,18,93,8,16,7.17,18.26,Precipitation,'Risk Undefined',0
viernes,16,'\'(20.7-inf)\'',16,1013,18,93,8,16,7.17,18.26,Precipitation,'Risk High',0
lunes,12,'\'(-inf-2.3]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk Low',0
viernes,16,'\'(-inf-2.3]\'',16,1012,20,98,4,16,7.34,18.04,Overcast,'Risk Low',0
jueves,15,'\'(-inf-2.3]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',0
domingo,11,'\'(18.4-20.7]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',0
domingo,18,'\'(6.9-9.2]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk Undefined',0
mi�rcoles,14,'\'(-inf-2.3]\'',16,1013,18,93,8,16,7.17,18.26,Drizzle,'Risk Undefined',0
lunes,12,'\'(20.7-inf)\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk Medium',0
domingo,18,'\'(-inf-2.3]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',0
martes,13,'\'(13.8-16.1]\'',16,1013,18,93,8,16,7.17,18.26,Precipitation,'Risk High',0
viernes,16,'\'(9.2-11.5]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk Undefined',0
domingo,18,'\'(13.8-16.1]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk Medium',0
martes,13,'\'(-inf-2.3]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',0
viernes,16,'\'(13.8-16.1]\'',16,1013,18,93,8,16,7.17,18.26,Precipitation,'Risk Low',0
s�bado,17,'\'(9.2-11.5]\'',16,1013,18,93,8,16,7.17,18.26,Drizzle,'Risk High',0
viernes,16,'\'(9.2-11.5]\'',16,1013,18,93,8,16,7.17,18.26,Rain,'Risk Undefined',0
martes,13,'\'(2.3-4.6]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',0
viernes,16,'\'(13.8-16.1]\'',16,1013,18,93,8,16,7.17,18.26,Precipitation,'Risk Low',0
domingo,18,'\'(4.6-6.9]\'',16,1013,18,93,8,16,7.17,18.26,Precipitation,'Risk High',0
domingo,18,'\'(13.8-16.1]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',0
s�bado,17,'\'(6.9-9.2]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',0
lunes,12,'\'(20.7-inf)\'',16,1013,18,93,8,16,7.17,18.26,Rain,'Risk High',0
martes,13,'\'(9.2-11.5]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',0
s�bado,17,'\'(18.4-20.7]\'',16,1013,18,93,8,16,7.17,18.26,Drizzle,'Risk Medium',0
lunes,12,'\'(6.9-9.2]\'',16,1013,18,93,8,16,7.17,18.26,Rain,'Risk Medium',0
viernes,16,'\'(4.6-6.9]\'',16,1013,18,93,8,16,7.17,18.26,Drizzle,'Risk Low',0
lunes,12,'\'(6.9-9.2]\'',16,1013,18,93,8,16,7.17,18.26,Rain,'Risk High',0
mi�rcoles,14,'\'(-inf-2.3]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',0
martes,13,'\'(9.2-11.5]\'',16,1013,18,93,8,16,7.17,18.26,Rain,'Risk Low',0
domingo,18,'\'(-inf-2.3]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk High',0
jueves,15,'\'(2.3-4.6]\'',16,1013,18,93,8,16,7.17,18.26,Rain,'Risk Low',0
domingo,18,'\'(6.9-9.2]\'',16,1013,18,93,8,16,7.17,18.26,Drizzle,'Risk Undefined',0
domingo,18,'\'(13.8-16.1]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk Medium',0
lunes,12,'\'(11.5-13.8]\'',8.6,1022,0,99,1,8,7.47,17.55,Fog,'Risk Medium',0
jueves,15,'\'(18.4-20.7]\'',16,1013,18,93,8,16,7.17,18.26,Drizzle,'Risk High',0
viernes,16,'\'(2.3-4.6]\'',16,1013,18,93,8,16,7.17,18.26,Rain,'Risk High',0
